receptor,rep,n_frames_total,n_frames_used,early_frac,n_windows,rmsd_mean,rmsd_std,rmsd_max,rg_mean,rg_std,tm3_tm6_mean,tm3_tm6_std,simID,traj_file,top_file,label,dominant_cluster_frac,silhouette,y,early_ts_path,early_frames_path
Adenosine_receptor_A2a~2YDV_A,1,2250,1075,0.5,1,3.1630664741802574,0.9321447990094593,4.588120513091125,22.475409984466367,0.27807173801088303,35.14085909259431,0.6613677373314113,32,Adenosine_receptor_A2a~2YDV_A~unknown~10360_trj_32.xtc,Adenosine_receptor_A2a~2YDV_A~unknown~10363_dyn_32.psf,multi_state,0.6995348837209302,0.5366583466529846,1,early_ts_Adenosine_receptor_A2a_2YDV_A_rep1_32.npy,early_frames_Adenosine_receptor_A2a_2YDV_A_rep1_32.npy
Adenosine_receptor_A2a~2YDV_A,1,2500,1200,0.5,1,2.556667952906108,0.670148463290596,4.535671650491686,22.815357550523817,0.17149827588777505,34.78307956197016,0.9664912331965699,33,Adenosine_receptor_A2a~2YDV_A~unknown~10366_trj_33.xtc,Adenosine_receptor_A2a~2YDV_A~unknown~10371_dyn_33.psf,multi_state,0.7183333333333334,0.5517736077308655,1,early_ts_Adenosine_receptor_A2a_2YDV_A_rep1_33.npy,early_frames_Adenosine_receptor_A2a_2YDV_A_rep1_33.npy
Adenosine_receptor_A2a~3EML,1,997,448,0.5,1,2.572048875614413,0.31157358972354926,3.533786178741309,21.41325378776524,0.1690150395130804,26.868400620792265,0.5405480047231447,7,Adenosine_receptor_A2a~3EML~unknown~10166_trj_7.dcd,Adenosine_receptor_A2a~3EML~unknown~10167_dyn_7.psf,single_state,0.6688963210702341,0.374752402305603,0,early_ts_Adenosine_receptor_A2a_3EML_rep1_7.npy,early_frames_Adenosine_receptor_A2a_3EML_rep1_7.npy
Adenosine_receptor_A2a~3QAK_A,1,2500,1200,0.5,1,3.248730540978985,0.5142427543981334,4.641151538702825,22.827995416906088,0.16401206809959415,34.04398042260522,0.9268747044604939,34,Adenosine_receptor_A2a~3QAK_A~unknown~10374_trj_34.xtc,Adenosine_receptor_A2a~3QAK_A~unknown~10378_dyn_34.psf,single_state,0.8658333333333333,0.5700445771217346,0,early_ts_Adenosine_receptor_A2a_3QAK_A_rep1_34.npy,early_frames_Adenosine_receptor_A2a_3QAK_A_rep1_34.npy
Adenosine_receptor_A2a~3REY_A,1,2500,1200,0.5,1,3.8397168468360565,0.8309001980277261,5.509901550432505,22.541365956163887,0.33657240867255184,36.58211095329875,0.7059632012160937,35,Adenosine_receptor_A2a~3REY_A~unknown~10386_trj_35.xtc,Adenosine_receptor_A2a~3REY_A~unknown~10383_dyn_35.psf,single_state,0.6879166666666666,0.4724314510822296,0,early_ts_Adenosine_receptor_A2a_3REY_A_rep1_35.npy,early_frames_Adenosine_receptor_A2a_3REY_A_rep1_35.npy
Adenosine_receptor_A2a~3REY_A,1,2500,1200,0.5,1,2.8052320127400576,0.8319258320013578,4.137030002025367,22.70416161223275,0.16559263830742227,34.84705733864438,0.6512397522273867,36,Adenosine_receptor_A2a~3REY_A~unknown~10398_trj_36.xtc,Adenosine_receptor_A2a~3REY_A~unknown~10395_dyn_36.psf,single_state,0.5254166666666666,0.45278722047805786,0,early_ts_Adenosine_receptor_A2a_3REY_A_rep1_36.npy,early_frames_Adenosine_receptor_A2a_3REY_A_rep1_36.npy
Adenosine_receptor_A2a~3RFM_A,1,2500,1200,0.5,1,2.379903658239325,0.2999199711071772,3.0805779849231474,22.659007455101825,0.1260357738817496,35.25544785638376,0.5515241034337094,37,Adenosine_receptor_A2a~3RFM_A~unknown~10406_trj_37.xtc,Adenosine_receptor_A2a~3RFM_A~unknown~10403_dyn_37.psf,single_state,0.5833333333333334,0.49288055300712585,0,early_ts_Adenosine_receptor_A2a_3RFM_A_rep1_37.npy,early_frames_Adenosine_receptor_A2a_3RFM_A_rep1_37.npy
Adenosine_receptor_A2a~3RFM_A,1,2500,1200,0.5,1,3.1354270587478053,0.3577627798173509,4.141725734474095,22.68721503668581,0.1445534986327843,36.18877700510269,0.777085079416952,38,Adenosine_receptor_A2a~3RFM_A~unknown~10414_trj_38.xtc,Adenosine_receptor_A2a~3RFM_A~38~10411_dyn_38.psf,single_state,0.5766666666666667,0.44426605105400085,0,early_ts_Adenosine_receptor_A2a_3RFM_A_rep1_38.npy,early_frames_Adenosine_receptor_A2a_3RFM_A_rep1_38.npy
Adenosine_receptor_A2a~3UZA_A,1,2500,1200,0.5,1,3.064769428670807,0.6319527465553958,4.145331919440362,22.724481883020772,0.15666895693816754,32.016352486532035,1.576797452052005,40,Adenosine_receptor_A2a~3UZA_A~unknown~10432_trj_40.xtc,Adenosine_receptor_A2a~3UZA_A~40~10427_dyn_40.psf,single_state,0.5679166666666666,0.4633316695690155,0,early_ts_Adenosine_receptor_A2a_3UZA_A_rep1_40.npy,early_frames_Adenosine_receptor_A2a_3UZA_A_rep1_40.npy
Adenosine_receptor_A2a~3UZA_A,2,2500,1200,0.5,1,2.8070121018534593,0.7031776169695083,4.322158512216727,22.593921895549805,0.15850327747461085,34.71094123257362,1.0404259689286162,39,Adenosine_receptor_A2a~3UZA_A~unknown~10420_trj_39.xtc,Adenosine_receptor_A2a~3UZA_A~39~10419_dyn_39.psf,multi_state,0.6970833333333334,0.5233322381973267,1,early_ts_Adenosine_receptor_A2a_3UZA_A_rep2_39.npy,early_frames_Adenosine_receptor_A2a_3UZA_A_rep2_39.npy
Adenosine_receptor_A2a~3UZC_A,1,2500,1200,0.5,1,3.2977698470101355,1.1399642708906301,6.013049763945693,22.84986546596855,0.16380514509890903,36.005965656360154,0.7356536009989861,41,Adenosine_receptor_A2a~3UZC_A~unknown~10438_trj_41.xtc,Adenosine_receptor_A2a~3UZC_A~unknown~10434_dyn_41.psf,multi_state,0.7183333333333334,0.5609999299049377,1,early_ts_Adenosine_receptor_A2a_3UZC_A_rep1_41.npy,early_frames_Adenosine_receptor_A2a_3UZC_A_rep1_41.npy
Adenosine_receptor_A2a~3UZC_A,1,2500,1200,0.5,1,2.7470977969757615,0.42482354598213745,3.705918343924182,22.703339672525374,0.10770584517360235,34.36772851080618,0.6829036530126782,42,Adenosine_receptor_A2a~3UZC_A~unknown~10452_trj_42.xtc,Adenosine_receptor_A2a~3UZC_A~42~10447_dyn_42.psf,single_state,0.6433333333333333,0.49705392122268677,0,early_ts_Adenosine_receptor_A2a_3UZC_A_rep1_42.npy,early_frames_Adenosine_receptor_A2a_3UZC_A_rep1_42.npy
Adenosine_receptor_A2a~4EIY_A,1,2500,1200,0.5,1,2.6971140054275704,0.3445317254121753,3.66574134569989,22.16942371387961,0.10985410654590093,35.83077466670145,0.5357576440786568,43,Adenosine_receptor_A2a~4EIY_A~unknown~10457_trj_43.xtc,Adenosine_receptor_A2a~4EIY_A~unknown~10455_dyn_43.psf,multi_state,0.5391666666666667,0.5226216912269592,1,early_ts_Adenosine_receptor_A2a_4EIY_A_rep1_43.npy,early_frames_Adenosine_receptor_A2a_4EIY_A_rep1_43.npy
Adenosine_receptor_A2a~4EIY_A,1,2500,1200,0.5,1,2.772850606944506,0.6952186301064904,4.413457911106697,22.308520015797512,0.2500361622521358,35.696623353385284,0.7250175461861059,44,Adenosine_receptor_A2a~4EIY_A~unknown~10462_trj_44.xtc,Adenosine_receptor_A2a~4EIY_A~unknown~10467_dyn_44.psf,single_state,0.6358333333333334,0.468730628490448,0,early_ts_Adenosine_receptor_A2a_4EIY_A_rep1_44.npy,early_frames_Adenosine_receptor_A2a_4EIY_A_rep1_44.npy
