protein,pdbid,state,trajectory_url,topology_url,model_url
CNR1,5U09,inactive,https://gpcrmd.org/dynadb/files/Dynamics/11516_trj_163.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11521_dyn_163.psf,https://gpcrmd.org/dynadb/files/Dynamics/11520_dyn_163.pdb
CNR1,6N4B,active,https://gpcrmd.org/dynadb/files/Dynamics/dyn2336/24048_trj_2067.xtc,https://gpcrmd.org/dynadb/files/Dynamics/dyn2336/24047_dyn_2067.psf,https://gpcrmd.org/dynadb/files/Dynamics/dyn2336/tmp_dyn_0_2336.pdb
S1PR1,3V2Y,inactive,https://gpcrmd.org/dynadb/files/Dynamics/10627_trj_63.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10632_dyn_63.psf,https://gpcrmd.org/dynadb/files/Dynamics/10633_dyn_63.pdb
S1PR1,7TD4,active,,,
RHO,1U19,inactive,https://gpcrmd.org/dynadb/files/Dynamics/10193_trj_12.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10196_dyn_12.psf,https://gpcrmd.org/dynadb/files/Dynamics/10197_dyn_12.pdb
RHO,3PXO,active,,,
F2R,3VW7,inactive,https://gpcrmd.org/dynadb/files/Dynamics/11239_trj_129.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11243_dyn_129.psf,https://gpcrmd.org/dynadb/files/Dynamics/11244_dyn_129.pdb
F2R,6PFO,active,,,
GLP1R,5VAI,inactive,,,
GLP1R,6X18,active,,,
GCGR,4L6R,inactive,https://gpcrmd.org/dynadb/files/Dynamics/11048_trj_110.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11051_dyn_110.psf,https://gpcrmd.org/dynadb/files/Dynamics/11052_dyn_110.pdb
GCGR,6LMK,active,,,
CRHR1,4K5Y,inactive,https://gpcrmd.org/dynadb/files/Dynamics/10911_trj_95.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10914_dyn_95.psf,https://gpcrmd.org/dynadb/files/Dynamics/10915_dyn_95.pdb
B2AR,6E67,active,https://gpcrmd.org/dynadb/files/Dynamics/dyn1427/22358_trj_1247.trr,https://gpcrmd.org/dynadb/files/Dynamics/dyn1427/22348_dyn_1247.top,https://gpcrmd.org/dynadb/files/Dynamics/dyn1427/tmp_dyn_0_1427.pdb
D2,6CM4,inactive,https://gpcrmd.org/dynadb/files/Dynamics//dyn1410/19132_trj_1239.xtc,https://gpcrmd.org/dynadb/files/Dynamics/dyn1410/tmp_dyn_0_1410.pdb,https://gpcrmd.org/dynadb/files/Dynamics/dyn1410/tmp_dyn_0_1410.pdb
D2,6CM4,inactive,https://gpcrmd.org/dynadb/files/Dynamics//dyn1410/19131_trj_1239.xtc,,	
D2,6CM4,inactive,https://gpcrmd.org/dynadb/files/Dynamics//dyn1410/19130_trj_1239.xtc,,	
D2,6CM4,inactive,https://gpcrmd.org/dynadb/files/Dynamics//dyn1410/19129_trj_1239.xtc,,		
A2A,2YDO,active,https://gpcrmd.org/dynadb/files/Dynamics/10341_trj_30.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10345_dyn_30.psf,https://gpcrmd.org/dynadb/files/Dynamics/10346_dyn_30.pdb
MOR,5CM1,active,https://gpcrmd.org/dynadb/files/Dynamics/11423_trj_151.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11427_dyn_151.psf,https://gpcrmd.org/dynadb/files/Dynamics/11426_dyn_151.pdb
