protein,pdbid,state,trajectory_url,topology_url,model_url
Endothelin_receptor_type_B,6IGK,unknown,https://gpcrmd.org/dynadb/files/Dynamics/17230_trj_1015.xtc,https://gpcrmd.org/dynadb/files/Dynamics/17227_dyn_1015.psf,
Adenosine_receptor_A2a,5VRA,unknown,https://gpcrmd.org/dynadb/files/Dynamics/17202_trj_1011.xtc,https://gpcrmd.org/dynadb/files/Dynamics/17199_dyn_1011.psf,
Beta-arrestin-1,6U1N,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2351/24142_trj_2080.xtc,https://gpcrmd.org/dynadb/files/Dynamics/dyn2351/24141_dyn_2080.psf,
Beta-arrestin-2,6U1N,unknown,https://gpcrmd.org/dynadb/files/Dynamics//dyn1395/19072_trj_1225.xtc,https://gpcrmd.org/dynadb/files/Dynamics//dyn1395/19071_dyn_1225.psf,
C5a_anaphylatoxin_chemotactic_receptor_1,6C1R,unknown,https://gpcrmd.org/dynadb/files/Dynamics/18352_trj_1085.xtc,https://gpcrmd.org/dynadb/files/Dynamics/18349_dyn_1085.psf,
Adenosine_receptor_A2a,5OLG,unknown,https://gpcrmd.org/dynadb/files/Dynamics/16604_trj_922.xtc,https://gpcrmd.org/dynadb/files/Dynamics/16601_dyn_922.psf,
unknown,2RH1,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2716/25638_trj_2359.xtc,https://gpcrmd.org/dynadb/files/Dynamics/dyn2716/tmp_dyn_0_2716.pdb,
unknown,8UXY,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2338/24090_trj_2069.trr,https://gpcrmd.org/dynadb/files/Dynamics/dyn2338/24089_dyn_2069.top,
unknown,3W5A,unknown,https://gpcrmd.org/dynadb/files/Dynamics//dyn1518/19478_trj_1314.dcd,https://gpcrmd.org/dynadb/files/Dynamics//dyn1518/19479_dyn_1314.psf,
D(3)_dopamine_receptor,3PBL.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10999_trj_105.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11002_dyn_105.psf,
unknown,3W5A,unknown,https://gpcrmd.org/dynadb/files/Dynamics//dyn1507/19421_trj_1303.dcd,https://gpcrmd.org/dynadb/files/Dynamics//dyn1507/19420_dyn_1303.psf,
